ImageNumber,ObjectNumber,Children_FilterObjects1_Count,Children_IdentifyPrimaryObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
11,14,1,1,38.09090909090909,40.63636363636363,0,14
11,15,0,0,18.866666666666667,50.2,0,15
11,16,0,0,6.5,57.714285714285715,0,16
11,17,0,0,20.153846153846153,63.84615384615385,0,17
11,18,1,1,43.8,67.44,0,18
11,19,1,1,15.125,69.875,0,19
11,20,0,0,22.0,72.5,0,20
11,21,1,1,30.77777777777778,79.5,0,21
11,22,0,0,40.5,85.0,0,22
11,23,1,1,62.5,85.0,0,23
11,24,1,1,9.5,86.77777777777777,0,24
11,25,1,1,78.47368421052632,86.63157894736842,0,25
11,26,1,1,21.0,93.5,0,26
12,1,1,1,73.5,5.875,0,1
12,2,1,1,9.692307692307692,15.961538461538462,0,2
12,3,1,1,32.11538461538461,17.692307692307693,0,3
12,4,0,0,67.61538461538461,16.615384615384617,0,4
12,5,1,1,60.333333333333336,19.083333333333332,0,5
12,6,1,1,44.65384615384615,22.846153846153847,0,6
12,7,0,0,51.81818181818182,24.772727272727273,0,7
12,8,1,1,13.102564102564102,30.256410256410255,0,8
12,9,0,0,26.0,32.333333333333336,0,9
12,10,1,1,43.421052631578945,35.89473684210526,0,10
12,11,1,1,73.61904761904762,36.476190476190474,0,11
12,12,1,1,85.4,37.96,0,12
12,13,0,0,14.294117647058824,45.705882352941174,0,13
12,14,1,1,50.92307692307692,48.88461538461539,0,14
12,15,1,1,66.75,48.625,0,15
12,16,1,1,46.45,52.75,0,16
12,17,1,1,36.4,53.6,0,17
12,18,1,1,87.57142857142857,54.61904761904762,0,18
12,19,1,1,57.4,59.25,0,19
12,20,1,1,70.46875,59.75,0,20
12,21,0,0,78.9090909090909,60.63636363636363,0,21
12,22,1,1,24.35,61.9,0,22
12,23,1,1,15.473684210526315,67.36842105263158,0,23
12,24,1,1,33.0,68.3529411764706,0,24
12,25,1,1,62.96551724137931,70.17241379310344,0,25
12,26,1,1,91.62962962962963,71.85185185185185,0,26
12,27,1,1,70.84,73.12,0,27
12,28,0,0,81.0,75.3529411764706,0,28
12,29,1,1,23.571428571428573,79.89285714285714,0,29
12,30,1,1,37.37931034482759,81.6896551724138,0,30
12,31,1,1,49.357142857142854,80.71428571428571,0,31
12,32,0,0,75.66666666666667,87.75,0,32
12,33,1,1,85.5,88.0,0,33
12,34,0,0,26.05,89.25,0,34
12,35,1,1,67.29166666666667,89.0,0,35
12,36,1,1,13.052631578947368,91.78947368421052,0,36
13,1,0,0,61.63636363636363,5.909090909090909,0,1
13,2,1,1,16.69047619047619,8.285714285714286,0,2
13,3,1,1,53.9375,9.6875,0,3
13,4,1,1,30.105263157894736,11.421052631578947,0,4
13,5,1,1,84.41176470588235,14.117647058823529,0,5
13,6,1,1,47.26315789473684,14.631578947368421,0,6
13,7,1,1,4.909090909090909,15.636363636363637,0,7
13,8,1,1,78.25,22.666666666666668,0,8
13,9,1,1,87.41176470588235,23.11764705882353,0,9
13,10,1,1,56.9,24.95,0,10
13,11,1,1,68.70833333333333,26.5,0,11
13,12,1,1,12.217391304347826,28.608695652173914,0,12
13,13,0,0,27.761904761904763,33.0,0,13
13,14,1,1,45.57142857142857,33.61904761904762,0,14
13,15,1,1,89.58823529411765,34.05882352941177,0,15
13,16,0,0,74.0,37.0,0,16
13,17,1,1,56.1578947368421,38.1578947368421,0,17
13,18,1,1,12.19047619047619,43.04761904761905,0,18
13,19,1,1,27.5,42.5,0,19
13,20,0,0,58.5,49.0,0,20
13,21,1,1,68.88235294117646,49.588235294117645,0,21
13,22,0,0,41.92857142857143,57.857142857142854,0,22
13,23,1,1,14.117647058823529,59.411764705882355,0,23
13,24,1,1,56.857142857142854,60.0,0,24
13,25,1,1,32.416666666666664,61.25,0,25
13,26,0,0,79.92857142857143,69.35714285714286,0,26
13,27,1,1,91.71428571428571,68.64285714285714,0,27
13,28,0,0,9.692307692307692,71.84615384615384,0,28
13,29,0,0,63.76470588235294,71.11764705882354,0,29
13,30,1,1,26.318181818181817,73.13636363636364,0,30
13,31,1,1,39.411764705882355,72.88235294117646,0,31
13,32,0,0,7.875,74.875,0,32
13,33,1,1,16.5,79.28571428571429,0,33
13,34,1,1,30.41176470588235,84.11764705882354,0,34
13,35,0,0,80.82758620689656,83.89655172413794,0,35
13,36,1,1,12.176470588235293,89.94117647058823,0,36
13,37,1,1,63.5,90.5,0,37
13,38,0,0,22.724137931034484,91.20689655172414,0,38
13,39,1,1,72.5,93.2,0,39
14,1,0,0,17.9,7.966666666666667,0,1
14,2,1,1,73.9,12.3,0,2
14,3,1,1,46.11764705882353,14.588235294117647,0,3
14,4,1,1,61.96,22.76,0,4
14,5,1,1,31.5,24.77777777777778,0,5
14,6,1,1,8.4,26.5,0,6
14,7,1,1,83.91304347826087,28.608695652173914,0,7
14,8,1,1,37.0,35.0,0,8
14,9,1,1,53.38095238095238,36.57142857142857,0,9
14,10,1,1,65.63157894736842,36.78947368421053,0,10
14,11,1,1,16.5,39.8125,0,11
14,12,1,1,27.130434782608695,40.47826086956522,0,12
14,13,0,0,87.66666666666667,46.06666666666667,0,13
14,14,1,1,47.22222222222222,47.5,0,14
14,15,0,0,60.64705882352941,49.529411764705884,0,15
14,16,1,1,24.61904761904762,53.523809523809526,0,16
14,17,0,0,83.8,54.0,0,17
14,18,1,1,11.421052631578947,54.10526315789474,0,18
14,19,1,1,41.5,55.22222222222222,0,19
14,20,1,1,68.5625,60.375,0,20
14,21,1,1,44.4,64.4,0,21
14,22,1,1,30.0,67.0,0,22
14,23,0,0,88.84615384615384,69.76923076923077,0,23
14,24,1,1,71.11764705882354,70.58823529411765,0,24
14,25,1,1,22.333333333333332,75.0,0,25
14,26,1,1,53.285714285714285,75.5,0,26
14,27,0,0,88.0,75.2,0,27
14,28,1,1,64.5,78.0,0,28
14,29,0,0,21.57894736842105,80.10526315789474,0,29
14,30,1,1,39.25925925925926,85.96296296296296,0,30
14,31,1,1,88.15789473684211,89.15789473684211,0,31
14,32,1,1,5.615384615384615,91.61538461538461,0,32
15,1,1,1,36.5,6.5,0,1
15,2,0,0,76.75,6.416666666666667,0,2
15,3,1,1,65.5,7.0,0,3
15,4,1,1,13.25,11.45,0,4
15,5,1,1,46.8421052631579,12.157894736842104,0,5
15,6,1,1,23.0,16.5,0,6
15,7,1,1,5.411764705882353,20.11764705882353,0,7
