ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects1
10,10,57.375,63.15625,0,10,10
10,11,28.5,66.29411764705883,0,11,11
10,12,5.846153846153846,74.6923076923077,0,12,12
10,13,92.0,77.16666666666667,0,13,13
10,14,85.30555555555556,89.30555555555556,0,14,14
11,1,22.238095238095237,13.095238095238095,0,1,1
11,2,48.63333333333333,13.633333333333333,0,2,2
11,3,67.27272727272727,19.363636363636363,0,3,3
11,4,32.17142857142857,30.285714285714285,0,4,4
11,5,59.294117647058826,31.5,0,5,5
11,6,48.026315789473685,34.31578947368421,0,6,6
11,7,90.5945945945946,39.75675675675676,0,7,7
11,8,18.848484848484848,39.515151515151516,0,8,8
11,9,38.125,40.666666666666664,0,9,9
11,10,43.74418604651163,67.46511627906976,0,10,10
11,11,15.157894736842104,69.84210526315789,0,11,11
11,12,30.705882352941178,79.5,0,12,12
11,13,62.5,85.0,0,13,13
11,14,9.5,86.70588235294117,0,14,14
11,15,78.48571428571428,86.6,0,15,15
11,16,21.0,93.5,0,16,16
12,1,73.5,5.8125,0,1,1
12,2,9.71111111111111,15.911111111111111,0,2,2
12,3,32.108695652173914,17.652173913043477,0,3,3
12,4,60.32,19.0,0,4,4
12,5,44.71111111111111,22.933333333333334,0,5,5
12,6,13.0625,30.234375,0,6,6
12,7,43.388888888888886,35.861111111111114,0,7,7
12,8,73.5945945945946,36.486486486486484,0,8,8
12,9,85.36363636363636,37.93181818181818,0,9,9
12,10,51.44736842105263,48.78947368421053,0,10,10
12,11,66.74193548387096,48.645161290322584,0,11,11
12,12,46.473684210526315,52.63157894736842,0,12,12
12,13,36.36666666666667,53.63333333333333,0,13,13
12,14,87.60526315789474,54.6578947368421,0,14,14
12,15,57.37837837837838,59.24324324324324,0,15,15
12,16,70.43137254901961,59.745098039215684,0,16,16
12,17,24.38888888888889,61.916666666666664,0,17,17
12,18,15.485714285714286,67.4,0,18,18
12,19,33.0,68.38709677419355,0,19,19
12,20,62.95918367346939,70.12244897959184,0,20,20
12,21,91.68085106382979,71.8936170212766,0,21,21
12,22,70.81818181818181,73.18181818181819,0,22,22
12,23,23.5625,79.91666666666667,0,23,23
12,24,37.36,81.72,0,24,24
12,25,49.340425531914896,80.72340425531915,0,25,25
12,26,85.5,88.0,0,26,26
12,27,67.33333333333333,89.0,0,27,27
12,28,13.057142857142857,91.71428571428571,0,28,28
13,1,16.723076923076924,8.292307692307693,0,1,1
13,2,53.87096774193548,9.709677419354838,0,2,2
13,3,30.13888888888889,11.38888888888889,0,3,3
13,4,84.375,14.15625,0,4,4
13,5,47.31428571428572,14.6,0,5,5
13,6,4.875,15.666666666666666,0,6,6
13,7,78.24,22.68,0,7,7
13,8,87.45454545454545,23.09090909090909,0,8,8
13,9,56.916666666666664,24.97222222222222,0,9,9
13,10,68.66666666666667,26.5,0,10,10
13,11,12.225,28.65,0,11,11
13,12,45.60526315789474,33.6578947368421,0,12,12
13,13,89.57575757575758,34.03030303030303,0,13,13
13,14,56.1764705882353,38.1764705882353,0,14,14
13,15,12.210526315789474,43.10526315789474,0,15,15
13,16,27.5,42.5,0,16,16
13,17,68.84375,49.625,0,17,17
13,18,14.15625,59.375,0,18,18
13,19,56.8421052631579,60.05263157894737,0,19,19
13,20,32.395348837209305,61.25581395348837,0,20,20
13,21,91.72413793103448,68.65517241379311,0,21,21
